,portrait_50,categories2,profile_type,title,skills,country,description,name,last_activity,rate,member_since,portfolio_items_count,id,test_passed_count,feedback
63,https://odesk-prod-portraits.s3.amazonaws.com/Users:sylvester-tom:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=QU38Tzqa2GOf44RPWROfB1hh1X8%3D&1469290424236291,Writing,Independent,Creative writing professional,blog-writing--creative-writing--essay-writing--research-papers--seo-audit--seo-keyword-research--seo-writing,United States,"I am a recent University graduate with a Degree in Journalism and Mass Communication. I am a high quality writer, I have been writing for more than 6 years now. My Qualifications 1. Article Writing/ Rewriting/ Proofreading/ Editing2. Academic Writing/ Essay Writing/ Thesis Writing3. Business Writing4. Report and Ebook Writing5. Web content and Blog Writing 6. Technical Writing7. SEO WritingI always ensure that the work I provide is very informative, well-researched, perfectly polished and error free. Also, I deliver work within the time frame provided.",Thomas Sylvester,2017-02-24,15.0,"July 22, 2016",3,https://www.upwork.com/freelancers/_~0112422d9649fbbe62,2,4.6096059113
64,https://odesk-prod-portraits.s3.amazonaws.com/Users:sonyasong:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=u7WGZFaRL91HezwZcY6X5vWwR50%3D&1486148337810937,Design & Creative--Engineering & Architecture,Independent,"Illustrator, 2D/3D artist",icon-design--illustration--character-design--2d-design--cg-artwork--3d-modeling--digital-sculpting,Ukraine,"Hi everyone, I am 2D artist from Ukraine.I create illustration, art for games, posters, icons.. I also create logotypes.I have B.A. in graphic design, and 1,5 year experience as an illustrator for web.",Olga Boiko,2017-02-18,12.5,"November 15, 2015",18,https://www.upwork.com/freelancers/_~01b6b8c1531ec6890b,3,4.9629453682
69,https://odesk-prod-portraits.s3.amazonaws.com/Users:ionescuvladeugen:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=of5Bs1%2BYT3CgxdOr9OdZGId6V%2FY%3D&1438297409527158,"Sales & Marketing--Web, Mobile & Software Dev--Engineering & Architecture--Design & Creative--Admin Support",Independent,Graphic Designer Extraordinaire,adobe-photoshop--autodesk-maya--adobe-illustrator--adobe-after-effects--adobe-flash--web-design--blender3d--mechanical-engineering,Romania,"I have always tried to help people solve their problems and meet their goals. I was providing solutions to people from my area in Bucharest with problems ranging from image editing to science projects, from virus removal to installing computer hardware, I was doing it all. From these experiences I've started to gain knowledge and propel myself into building EXN Performance. (exn.cabanova.com)From then on I was involved into different types of projects ranging from Digital Statue Designs to Prototyping Wall Mounts for LCD monitors.Lately I am the Lead Editor at www.Learn2League.com, I have made all the movies including the Promotional Movie, some webdesign for them and also the background from twitter and the Twitch.tv overlay.",Vlad Ionescu,2017-02-24,13.33,"January 5, 2011",23,https://www.upwork.com/freelancers/_~0125b0fbd162ac56b7,2,4.7827665368
71,https://odesk-prod-portraits.s3.amazonaws.com/Users:c_jiao_wei:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=u6eeMjTBur7TvJhkCL%2B3rFGwnyk%3D&1447526898750684,Translation--Writing--Admin Support,Independent,English to Chinese Translator ,translation-english-chinese--translation-chinese-english--translation-english-malay--translation-malay-english--data-entry,Malaysia,"I am a Malaysian Chinese. Chinese is my mother tongue. I had my studies learning in Chinese since kindergarten until high school, which covers about 10 years of proper education in Chinese language. English is my second language, which I have started to in touch since kindergarten as well but it did not gets along with me well until my high school, the time I first study science and mathematics in English. I started to write blogs in Chinese and English before I graduate from high school. I treat it as a good way to revise and maintain my Chinese language and a good practice to improve my English. I graduated from University of Science, Malaysia in August 2014 as a Food Technology student from School of Industrial Technology. I have took management course as my minor subjects. During my undergraduate life, I actively participate in the Chinese society as an event committee, to work with people from different background and major, to learn how to to organize an event, how marketing works to promote an event and of course, the most important is to contribute to my Chinese language and to make more friends. During my second year I have participated a Malaysia-Indonesia-Thailand government project for a student exchange program in Mae Fah Luang University, Thailand. I have been staying there for a semester, to study and for culture exchange. I have also learn some basics of Thai language in daily conversation.Soon after graduate, I join in Kerry Ingredients and Food, an Ireland-based company for their graduate management program in Asia Pacific region. Working in the business group service center, I have been expose to the different cultures and also cross functional training. At Upwork, I am a fresh freelancer here get ready to gain experience in translation world, with the objective to keep both my languages trained and sharpen when time gets along.",Chong Jiao Wei,2017-02-18,10.0,"May 2, 2015",1,https://www.upwork.com/freelancers/_~015de89d9b20d1fac7,1,4.9636363636
98,https://odesk-prod-portraits.s3.amazonaws.com/Users:emma-mon:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=ZHlaTfldwiydoP52ant728I5LAg%3D&1487533788493544,Writing,Independent,"Article & Blog Writing, Editing & Proofreading, Translation, VA",news-writing-style--business-proposal-writing--report-writing--travel-writing--translation--transcription--virtual-assistant--human-resource-management--copywriting--proofreading,Italy,"Hello, I am a freelancer specializing in articles and blog writing, with a passion for the languages that allows me to speak fluently and write in English, Italian and Romanian. My love of learning every minute give me the best support for the work I do. Thanks for your attention, have a great day!",Emma Mon,2017-02-22,15.0,"February 8, 2017",0,https://www.upwork.com/freelancers/_~01549ebb79f2e3e85c,0,0.0
99,https://odesk-prod-portraits.s3.amazonaws.com/Users:tanyaarabic:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=44nYDEQZCt60Rz73cYMw9G7wrNk%3D&1486380432467565,Translation--Writing--Sales & Marketing,Independent,"Creative blog and article writing, translating from arabic to english",translation--arabic--english-grammar--serbian--writing--english--article-writing,Serbia,"Hello everyone!I am a professional writer, translator, and a professor with master's degree of Arabic and English languages at the Faculty of Philology in Serbia. My professional experience includes writing and translating articles for newspapers and websites.  I worked at School of Foreign languages, Elementary School as a teacher and now I work for a foreign Company as a translator. My range of interests is very wide and includes travel, food, culture, music, history among others.If you require someone who will contribute their personal best every time, you are in the right place.",Tanja Milankovic,2017-02-21,15.0,"November 13, 2016",6,https://www.upwork.com/freelancers/_~010eaf53dd3f282fa5,0,5.0
101,https://odesk-prod-portraits.s3.amazonaws.com/Users:brikh:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=AYQ6Kd%2F1STX31APOUbD8uF3V11I%3D&1468844310607739,Writing,Independent,"Blogging, Digital Content and Social Media",copywriting--blog-writing--social-media-management--copy-editing--article-writing--proofreading--editing,United Kingdom,"My work experiences include creating engaging content for publication on websites, including article and blog writing, which includes key SEO terms and the correct tone for the desired audience. There are no two articles the same, and you can guarantee your work will be original and genuine.If you are wanting an existing piece of work proofread or edited, I can help with that too! I have proofread and edited a novel and several plays now published through Amazon, as well as e-mail templates, website content and more. I am from the US, living in the UK having gone through the university system here, so I am comfortable tailoring your content to your desired audience in either US or UK English.I also develop and maintain the social media pages and use them to connect with potential customers and partners with an aim to creating a loyal client base. The majority of my clients are in the creative sector.I understand the importance of creating content, including key search terms, and scheduling according to the target audiences, and I am comfortable undertaking tasks independently as well as working with a team to produce the most effective social strategies to engage with the public as well as helping the company continue to develop relationships globally. This also includes engaging with partners to maximise exposure and maintain healthy relationships.I would love to use the skills I have obtained during my intense studies and work experiences to create engaging digital content to communicate effectively and create strong relationships with your target audiences and partners. ",Brianna H.,2017-02-23,15.0,"June 30, 2016",2,https://www.upwork.com/freelancers/_~019aebf143c59c6dc6,2,5.0
104,https://odesk-prod-portraits.s3.amazonaws.com/Users:mslogos:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=A2EZa%2BaB5CBWRyKQh4oLRwa00y0%3D,"Writing--Web, Mobile & Software Dev--Sales & Marketing--IT & Networking",Independent,Expert Web Developer,microsoft-word--microsoft-excel--microsoft-powerpoint--content-writing--article-writing--article-rewriting--seo-writing--data-sheet-writing--data-entry,Pakistan,"I am a writer by profession. I have some professional experience of writing.My skills are article writing, rewriting, rephrasing, blog writing, content writing, SEO, SEO writing.",Muhammad Bilal,2017-02-23,12.5,"May 24, 2012",2,https://www.upwork.com/freelancers/_~018d5cb5b3961ba0e6,7,4.6533366407
105,https://odesk-prod-portraits.s3.amazonaws.com/Users:georgenuella:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=h%2F4R7wRjZxk5nqsL58X12O%2Fx9so%3D&1459032404579990,Writing,Independent,Article and Blog Writing,writing--article-writing--article-rewriting--blog-writing--content-writing--forum-posting--blog-commenting--reviews--product-descriptions--creative-writing,United States,"Hi, are you in need of a professional and experienced writer who can who consistently delivers great work on time without missing the deadline for submission? That's what I do. I've never missed a deadline and i deliver my work in advance of the deadline. And since I have been on this platform, my clients as never regretted about working with me. Please read the following comments from my clients.""George really impressed me with his strong commitment to schedule and instant communication. George was requested to write about a fairly dull topic (at least in my opinion), and he delivered a very interesting and creative write up. I provided ten requirements along with an SEO requirement, and he executed everything with high attention to details. I have no doubt to recommend George, and I will certainly use his service in the near future.""""I got a great experience working with George Emmanuel for the second time!Everything done just exactly as have to.Great thanks you for support!""""George supplied high-quality writing and offered very quick turnaround. I enjoyed working with him.""""Thanks a lot for every thing. Delivered before the deadline and expectations met!""""Excellent Job when I need more work will be glad to hire him. Very good writer. Thank you.""""Thank you! Awesome job I would work with this person again.""These testimonies are from my upwork clients who were happy with the article I wrote for them. You can also try me today and see what I offer and the reason my clients are happy when they got their writings. My articles are:  Unique: 100% plagiarism free. SEO Content. Free of Grammatical Errors Fast Delivery: I've never missed a deadline. I always deliver good contents before the deadline.Why don't you try me today and see what I offer.###I'm sorry I've been off upwork for a while, but now I'm back.",George Emmanuel,2017-02-24,15.0,"March 25, 2016",0,https://www.upwork.com/freelancers/_~013ba0caf16079aa75,1,4.737387432
107,https://odesk-prod-portraits.s3.amazonaws.com/Users:victoria-viki:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=Y4h%2FvaPT3Nhu%2FzGBeYR150d6%2FlA%3D&1480862627730741,Writing,Independent,Article & blog writing,article-writing--blog-writing--english--macedonian--translation-english-macedonian--translation-macedonian-english,Macedonia,"Writing is my passion. I really enjoy writing on different topics, especially creative and trending. I write well in English and Macedonian, which is my native language. The articles that i will write will be well researched, accurate, reliable, creative.I am responsible and passionate about delivering dazzling content for everyone's need. Also, I find myself open-minded and open to constructive criticism in order to improve my work. I hope I can be a great fit for your future projects.Thank you.",Viktorija G.,2017-02-21,12.0,"October 6, 2016",1,https://www.upwork.com/freelancers/_~01a96078f5932db6da,2,5.0
112,https://odesk-prod-portraits.s3.amazonaws.com/Users:writtenbyems:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=kxA1md%2B0Qj%2F0qthIngyVvPr2cpc%3D&1475591346605995,Writing,Independent,"Article, Blog and Content Writing",seo-writing--blog-writing--blog-development--newsletter-writing--public-relations--article-writing--copywriting--creative-writing--email-marketing,United Kingdom,"Hi, I am a seasoned marketer with a Masters degree in Marketing. My background is in online / social marketing and I have been a ghost writer for approximately 10 years, creating content for business to business and business to consumer. I love writing, I would do it 24/7 if I could (we all need to eat and sleep!). My writing style is informal, concise and easy to read. I believe people come to your site or read your newsletter because they want to be informed not lectured! I have experience with every form of writing, be it ghostwriting, or creating articles, blogs, emails or tweets. I am addicted to social media and have created many campaigns for Twitter, Facebook and LinkedIn. ",Emma Saldanha,2017-02-21,25.0,"August 31, 2016",1,https://www.upwork.com/freelancers/_~01176fab29aa9bd280,1,5.0
114,https://odesk-prod-portraits.s3.amazonaws.com/Users:tomjosephlaw:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=DDOPNh5gfav33PwhTpmWVBVHrg8%3D&1486384823430212,Writing,Independent,Article and Blog Writer,writing--seo-writing--content-writing--article-writing--blog-writing--seo-keyword-research--proofreading--editing--copywriting--content-marketing,United Kingdom,"Hi! My name's Tom, I'm a native English speaker and professional article and blog writer. I specialize in writing engaging articles and blogs that your readers will love, and that also rank well in search engines.I'm new to the Upwork community and I'm looking to build trusting relationships for future collaborations. You can be sure that I'll work extremely hard to produce the high-quality content you need, while also maintaining close communication with you throughout. I'm very excited to be moving into freelancing and I'm here to make a name for myself.Send me a message now to tell me more about your project and requirements!",Tom L.,2017-02-08,30.0,"February 2, 2017",1,https://www.upwork.com/freelancers/_~01ec71cd81190e0bab,1,5.0
117,https://odesk-prod-portraits.s3.amazonaws.com/Users:p_parkhie:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=ScAi72qZKTW0QVjXhKn0%2Fs%2FRkbE%3D&1484079417978087,Writing,Independent,Article and Blog Writer,writing--blog-writing--copywriting--copy-editing--article-writing,United States,"I am native English-speaking, with a J.D. from Emory University School of Law. While practicing law, I specialized in commercial real estate finance, securities, and corporate finance. My practice required extensive writing, proofreading, and creativity (not all finance law is boring and dry!). I currently run a blog called Cultivate The Garden. ",Poorvi Parkhie,2017-02-21,25.0,"January 10, 2017",1,https://www.upwork.com/freelancers/_~010bdfbe37f56c0de5,1,0.0
119,https://odesk-prod-portraits.s3.amazonaws.com/Users:toobaaltaf1:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=xYencbYMK2UvlxnV9KFAC3HsBPk%3D&1448294813158657,Writing,Independent,Expert in Blog Writing and Article Writing,article-writing--blog-writing--press-release-writing--content-writing,Pakistan,"I am a full-time freelance content writer with over three years of experience. I have written blogs, website content, articles, and product reviews for various clients.",Tooba Altaf,2017-02-23,30.0,"February 5, 2013",4,https://www.upwork.com/freelancers/_~013b7bec9eed676291,0,0.0
121,https://odesk-prod-portraits.s3.amazonaws.com/Users:cthamlin:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2Bq4zjGbcFJ6hrI%2BMVM1u7fTzRuM%3D&1443192327362093,Writing,Independent,Blog and Article Writing Professional,blog-writing--article-writing--copywriting--seo-writing--creative-writing--wordpress--internet-research--google-analytics--hootsuite--writing,United States,"I am a contributor for The Huffington Post with six years of professional experience as a search engine optimization article writer and Wordpress blogger. Writing is my full-time career and dedicating a lot of effort to projects is familiar territory for me. Your time is precious, and you need someone who can get the job done without hassle or stress.Handling fast-paced jobs with ease and independence is nothing new to me. My previous staff job was a deadline-driven editor position at a big New York City digital media startup from May 2013 to January 2016.As a previous SEO freelancer for Beautyworldnews.com, my 10 daily weekday stories increased website traffic by 148.69 percent within my first two months in the position. And as a and staff editor for Fashionnstyle.com, I trained and managed eight writers -- who garnered between 200,000 and 900,000 monthly page views for their keyworded articles -- through the publication pipeline from 2015-16. I wrote about a variety of topics -- fashion, beauty, weddings, food, sports, technology, celebrities, entertainment, health, fitness, lifestyle and more -- in diverse styles from conversational to persuasive.Also, I was born and raised in the U.S. and am a native English speaker. My bachelor's degree is in English and Textual Studies from Syracuse University. Also, I earned a professional certificate in Journalism For Social Change from the University of California, Berkeley.  My future plans include enrolling at Columbia University in New York City to obtain a Master's Degree. I look forward to helping you, and thank you for visiting my profile. ",Clarissa Hamlin,2017-02-09,10.0,"September 23, 2015",2,https://www.upwork.com/freelancers/_~01533a993174d1a2b5,2,5.0
122,https://odesk-prod-portraits.s3.amazonaws.com/Users:clinville:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=vdIsFawyP0UhXMso0tMgqK0xnWI%3D&1465572947946409,Writing,Independent,Blog and Article Writing Professional,blog-writing--resume-writing--content-writing--article-writing--research--customer-service--microsoft-word--email-etiquette--microsoft-excel--data-entry,United States,"Throughout my career as a freelance writer I have written engaging blog posts and articles that cover a wide range of topics such as finance, marketing, traveling, area-specific news, social justice, real-estate and sports. I have also been published in various reputable online and print literary journals and magazines. I maintain a firm belief in providing well-written work that brings satisfaction to my clients. My experience working with editors has helped me develop this conviction. My strong command of the English language and passion for the written word enables me to communicate your message to your target audience in the most effective way. Also, my acute proficiency in internet research ensures you receive accurate and engaging material. I believe my job is not finished until you are satisfied. Please continue to examine my profile for more details. Thank you!",Christian L.,2017-02-21,12.0,"June 10, 2016",7,https://www.upwork.com/freelancers/_~010185d29be0d043a2,2,4.9747611938
129,https://odesk-prod-portraits.s3.amazonaws.com/Users:anthony_hanks:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=4EWpuv3t22Pc6FqTiSznq1Rnpwk%3D&1478182678959915,Writing,Independent,Creative Blog and Article Writer,administrative-support--virtual-assistant--writing,United States,"I am a freelance writer with a Bachelor degree in Marketing from Southern Illinois University.  I have 10 years' experience in Marketing and Sales, and have been blogging and writing creative fiction for 4 years.  My fiction work has been published in several magazines, an international anthology of World War 1 horror fiction, and my debut novel was published in September, 2016.  I also write for a film/book/game review website that nets 16,000+ views per month.  I have a talent for creating content that captivates, educates, excites, and persuades--all at once.  I'm equally comfortable writing short web content and longer, more dynamic projects.  I research topics thoroughly to ensure that your message hits home with the reader.  I enjoy providing a valuable service to my clients.  If you feel the same about the content you provide to your readers, then let's work together.  ",Anthony Hanks,2017-02-22,15.0,"November 3, 2016",0,https://www.upwork.com/freelancers/_~0115217a8863164b51,1,5.0
