,portrait_50,categories2,profile_type,title,skills,country,description,name,last_activity,rate,member_since,portfolio_items_count,id,test_passed_count,feedback
45,https://odesk-prod-portraits.s3.amazonaws.com/Users:rachel_banes:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2FMJ1GDoZ%2B1f%2BH4J5yld7P4qyMBY%3D&1473873225408584,Writing,Independent,Creative Writer and Editor,academic-writing--internet-research--editing--copywriting--creative-writing--grant-writing--proofreading,United Kingdom,"I am a professional article writer. I write premium SEO articles for website and blog. I create well researched, SEO and unique keywords targeted articles for website, blog, affiliate marketing, web post, web content, Home and Testimonies which will assist you in your online marketing efforts to attract and engage customers regularly.   Well researched and captivating article  Proofread article.  Fast and high turnaround  100% original and unique content  Copyscape pass guarantee!  Great grammar composition and structure!  SEO optimized content  High conversions   The content will keep the readers in and making visitors repeat their visits to your website and above all, my articles are search engines friendly",Rachel Banes,2017-02-23,15.0,"September 14, 2016",10,https://www.upwork.com/freelancers/_~010114697f5b6c5ba7,1,4.9904076739
47,https://odesk-prod-portraits.s3.amazonaws.com/Users:jpretorius82:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=SM%2FWvi86YCAKL3WJYO4EgXOVsDg%3D&1459446371261004,Translation--Writing--Admin Support,Independent,Software Development Team Lead,java--writing--proofreading--translation-afrikaans-english,South Africa,"I mainly work in the software industry - my background is in writing code and leading software development teams. Over the years, writing has become a strength of mine and an activity I enjoy. I have a B.Sc degree, majoring in computer science and applied mathematics. My other interests include:. Reading (especially science fiction and fantasy, as well as non-fiction). Flying gliders (I qualified as a licensed glider pilot late in 2016). ",Johan Pretorius,2017-02-21,30.0,"March 31, 2016",0,https://www.upwork.com/freelancers/_~01cb331030915cd9f8,0,0.0
50,https://odesk-prod-portraits.s3.amazonaws.com/Users:von-tarverdi:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=RVWME4mZxyufa2ZaoaXY8g%2FS0Oo%3D&1465452368690156,Writing--Admin Support,Independent,Professional Virtual Assistant / Project Manager / Writer,writing--management-skills--management-consulting--general-office-skills--virtual-assistant--marketing-strategy--project-management--administrative-support--editing--newsletter-writing,United States,"Strengths and Skills:-Native english speaker based in the US (central standard time)-3 years marketing experience including writing newsletters, creating flyers and writing press releases-3 years of website management-5 years of paper writing (up to 25 pages)-5 years of staff and volunteer management and supervision-7 years of website management and editing-10 years of project and program management, logistics and event planningAttributes: -I am very professional, reliable, on-time and deliver excellent products. -Bachelor of Arts from The University of Texas at Austin-MBA from The University of Houston - Victoria-Innovative thinker who is always looking for more efficient and successful processes-Friendly, flexible, helpful and pro-active attitude -Versatile and able to adapt quickly in fast-paced environments-Excellent written and oral communication skills via phone, email, and social networking sites-Excellent analytical, problem solving, critical thinking and integrative skills-Excellent interpersonal and client/vendor management skills",Vonne T.,2017-02-21,30.0,"June 9, 2016",7,https://www.upwork.com/freelancers/_~01e65b3eb4c357b03d,4,5.0
51,https://odesk-prod-portraits.s3.amazonaws.com/Users:atiebimasakti:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2FYNeiWwhMfsMAWDJAD9y5eTuMbc%3D,Writing--Translation--Data Science & Analytics--Design & Creative--Admin Support,Independent,"News Writer, Translation, Writing and Design",news-writing-style--scripting--voice-over--adobe-photoshop--adobe-indesign--adobe-flash--adobe-soundbooth--article-writing--copywriting--copy-editing,Malaysia,"- Experience working as an Assistant Reseacher, Online News Writer, and Substitute Teacher. - Final year MA in Media and Information Warfare. I have Bachelor Degree in Communication and Media (Hons.) Broadcasting, and Diploma in Communication and Media Studies.- Native Malay, fluent English, basic japanese and mandarin. - Ability in translation from Malay-English-Malay.- Skill work with SPSS, Social Media Monitoring tools (ThoughtBuzz, Trackur, NodeXL), Adobe Photoshop, Adobe InDesign, Adobe Flash, Adobe Soundbooth and Window Live Movie Maker, Microsoft Office. - Experience in research writing and news writing. Experience in designing poster, logo and banners for events. Experience in graphic design, script writing, essay, article writing and copywriting. Experience in radio broadcasting and news production. - A passionate, workaholic, particular, perfectionist workers.",Norizzati Saifuddin,2017-02-06,15.0,"August 22, 2014",2,https://www.upwork.com/freelancers/_~01d1fd006e0f2690e3,1,5.0
52,https://odesk-prod-portraits.s3.amazonaws.com/Users:jsschoenholz:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=e3%2BTU0H8%2B4amz%2BL6TmVqa6E4Bzw%3D&1463710976302266,Writing--Legal,Independent,"Writer, editor and proofreader",english-proofreading--french--writing--communications--academic-writing--research--legal-writing--legal-research,Canada,"I am a native French and English speaker having completed an undergraduate degree and Masters degree in English and law school in English. I have extensive experience in academic and legal research and writing. As Editor-in-Chief for my school's law review, I have developed a keen attention to detail and the ability to edit and proofread very effectively. Finally, I have extensive experience working on communications pieces including press releases, newsletters and speeches.",Jean-Simon Schoenholz,2017-02-07,22.5,"May 20, 2016",0,https://www.upwork.com/freelancers/_~01ddaaae79340f9248,0,5.0
54,https://odesk-prod-portraits.s3.amazonaws.com/Users:victoria_kl:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=2qWlWGpdHt0AfdWrDElFbK%2BXq1I%3D&1468179279626901,Writing--Legal--Translation,Independent,Research / copy- /  content writer,legal-writing--legal-research--content-writing--copywriting--sales-writing--english-grammar--english-proofreading--translation-russian-english--creative-writing--translation-english-russian,Ukraine,"Im a responsible, detail oriented, and creative writer with Ph.D. in Linguistics. I teach Legal English at university and writing is my second passion. I enjoy interdisciplinary studies, which involve legal research, cognitive linguistics, culture, language worldview, communicative interaction and strategies, enological discourse. As freelancer, I mostly specialize in:-	legal writing (legal content writing, blogs, IRAC  law essays, legal research, etc)-	business writing (marketing writing, training for start-ups, financial related topics)-	medicine (description of medications, medical law) -	wine industry writing  Im the author of the dissertation entitled ""Enological Component of Language World View of Modern France from Pragmalinguistic Perspective"". I know a lot about wine-making culture!!!Why should you cooperate with me?-I always submit work on time as it is very important for me for respect the time of my client as well as mine.- I am perfectionists at heart, and I provide top-notch customer service as I really care the particular needs of every client. - Being top-rated was not an aim, it is just the result of my work which Im very proud of.",Victoria Klavdich,2017-02-24,30.0,"February 28, 2015",1,https://www.upwork.com/freelancers/_~010e9d95e58033c65c,3,5.0
59,https://odesk-prod-portraits.s3.amazonaws.com/Users:elizabeth_evans:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=N9SpgeI2uCeZaJ5KIVJL%2B%2FF0n04%3D&1483753828122034,Writing--Customer Service--Admin Support,Independent,"Customer Service, blog writing, and book review",customer-service--software-testing--supervisory-skills--research-papers--blog-writing--microsoft-powerpoint--microsoft-word--microsoft-excel--literature-review--creative-writing,United States,"Over the past several years, I have worked steadily for a telecommunications company as a customer service representative, quality control representative, department supervisor and recently a corporate trainer. I am looking to branch into other areas of work as well. I have over 15 years of computer experience and have an excellent understanding of Microsoft Word, Excel, and PowerPoint. I also have experience with Adobe and am able to turn Adobe files into ePub files as well. I am ambitious and willing to take on new projects as they come up. I am a student in an online university, working towards a BA in Sociology, and therefore well acquainted with higher level writing requirement as well as researching and providing documentation. I have done several amazon book reviews and I am able to provide samples upon request. I have also branched into doing book editing. ",Elizabeth Evans,2017-02-16,16.67,"January 3, 2013",3,https://www.upwork.com/freelancers/_~01b4f4ee13081ae1b3,3,4.9981346213
60,https://odesk-prod-portraits.s3.amazonaws.com/Users:field-monte:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=IVCct0PIgnpcv10frVpX3cdG4PE%3D,Translation--Writing--Admin Support--Data Science & Analytics--Sales & Marketing,Independent,Translator Spanish to English and article writer.,translation-spanish-english--article-writing,Spain,"I am a native English speaker having lived and worked in Spain for 30 years.My business experiences include working in international motorsport and managing local Spanish companies. During this time I have translated numerous documents from Spanish to English and am looking to offer my services to those who are seeking high quality translation services of documents, web pages, scripts or otherwise.I am reliable and would welcome the opportunity to develop short and long term positive working relationships.",Monte Field,2017-02-24,25.0,"February 24, 2014",0,https://www.upwork.com/freelancers/_~01f0c8991078bc3a18,4,5.0
61,https://odesk-prod-portraits.s3.amazonaws.com/Users:linabois:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=1AteuMJCYl4sa25qa%2F4dfh2nqOs%3D&1478921666186876,Writing,Independent,Content Writer and Editor,press-release-writing--cover-letter-writing--editing--academic-writing--article-writing--article-rewriting--landing-pages--seo-keyword-research--social-media-marketing--newsletter-writing,United States,"Writing is a great way to express your brand, whether that's a business brand or a personal one. I am here to help you cater your writing and/or marketing efforts to the correct audience using your desired voice. I have a B.S. in Marketing and Professional Writing that required taking multiple rhetoric, grammar, editing, journalism, and design classes. I have 3 years professional experience as a writer to include editing, copywriting, blogging, press releases, newsletters, news articles, web content, brochures and other promotional material, social media copy, email marketing campaigns, and a multitude of other writing pieces. I hold a deep passion for writing and editing with the experience to get your job done no matter what the audience or writing style may be (MLA, APA, Chicago Style, etc.). As a recent graduate, I have a fresh mind and over 5 years of academic/ research writing experience. I am flexible in regards to working hours. Your deadline is very important to me and I will review your content as many times as it takes for it to exceed your expectations!I am ready to help you share your brand through writing or help you edit any type of content! Let me know how I can help you. :)",Lina Bois,2017-02-24,20.0,"November 12, 2016",6,https://www.upwork.com/freelancers/_~01732ce8319c80dfa5,1,5.0
62,https://odesk-prod-portraits.s3.amazonaws.com/Users:jjz9:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=%2BDxhBGw1EBiVcgdyiNigjyW5Hxc%3D&1445627376078542,Writing,Independent,Efficient and Quality Worker ,microsoft-word--microsoft-excel--microsoft-powerpoint--microsoft-outlook--content-writing--english--online-writing--creative-writing--english-grammar,United States,"My background as a dual Neuroscience and Anthropology major has exposed me to a wide range of material. Whether you require technical, scientific writing or creative content writing, I've got you covered.  I want to use my knowledge and writing skills to help you bring your vision to fruition. Deadlines will never be questioned and will always be met, no matter the circumstances. As a reliable and efficient worker, I will work with you to produce the best original content, which will be meticulously tailored to your audience of interest. ",Julia Zheng,2017-02-24,15.0,"April 25, 2015",0,https://www.upwork.com/freelancers/_~014942fae8b356aeca,0,5.0
63,https://odesk-prod-portraits.s3.amazonaws.com/Users:goodsoup257:PortraitUrl_50?AWSAccessKeyId=1XVAX3FNQZAFC9GJCFR2&Expires=2147483647&Signature=AW1Rhwf9jvMUcYwsTaEGqcByB3c%3D&1437014265414990,Writing,Independent,Writing with accuracy and heart,english--creative-writing--english-grammar--business-writing--time-management--english-punctuation--english-spelling--facebook-marketing--phone-support--online-writing,United States,"I like to write with color and description that brings the written word to life for the reader.  I have ghostwritten many ebooks, guidebooks, stories and novels for both children and adults, including fiction, self-help, and instructional material.  I am imaginative, effecient, and have a firm command of grammar and structure, as well as plot and pacing.  Reading and writing are my two favorite things on this Earth. I look forward to working with you on your project.",Loretta Campbell,2017-02-24,10.0,"July 21, 2011",0,https://www.upwork.com/freelancers/_~012da0f1dff2cf5eac,0,4.9680387906
