,profileid,id,name,MessageTime,MessageText,ProposalAmount
43,'01431a4d351efd865e,https://www.upwork.com/freelancers/~01431a4d351efd865e,Hayley W.,"Friday, June 9, 2017 6:03 PM","Hi, and thanks for the invitation to interview.----I am a native English writer, editor and proofreader from Australia.----I have a Certificate in Editing and Proofreading (distinctions) and am currently studying a Certificate IV in Professional Writing and Editing.----I have successfully completed many freelancing projects and you will see on my profile I have received excellent ratings and feedback.----I have written a number of blogs, articles, and web content, and can provide samples if required. I have also been freelancing full-time for over 12 months, so feel I am in a good position to write about the pros and cons of freelancing!----I am very interested in your proposal and would love to hear from you.----Regards, Hayley----Go to the proposal.",$20.00 / hr
44,'0128eb872c85f40df7,https://www.upwork.com/freelancers/~0128eb872c85f40df7,Susan V.,,,
45,'0141238e868be8c15b,https://www.upwork.com/freelancers/~0141238e868be8c15b,Lucy T.,"Friday, June 9, 2017 2:31 PM","Hi Steven----Thanks for getting in touch, I'd love to write this article and definitely have plenty to say about the topic.----If there's any particular keywords, focus or format you'd like please just let me know.----Thanks----Lucy----Go to the proposal.",$15.00 / hr
46,'0197500aa3e0edaa49,https://www.upwork.com/freelancers/~0197500aa3e0edaa49,Chris S.,"Friday, June 9, 2017 4:31 PM","Hi Steven,----Thank you for your invitation to interview. I would be happy to write about freelancing for your blog!----Would you please send me a link to other entries on your blog so I can get a sense for the style and tone you are look looking for?----Thanks!--Chris----Go to the proposal.",$30.00 / hr
47,'01777b3346b58a64ee,https://www.upwork.com/freelancers/~01777b3346b58a64ee,Nouran G.,,,
48,'0106b7ff348df52a81,https://www.upwork.com/freelancers/~0106b7ff348df52a81,Heather L.,,,
49,'011dfa1ce04c5c5c45,https://www.upwork.com/freelancers/~011dfa1ce04c5c5c45,Claire H.,,,
50,'019f8c1756d3d870a4,https://www.upwork.com/freelancers/~019f8c1756d3d870a4,Martin T.,,,
51,'0114a2a6b57ec80c79,https://www.upwork.com/freelancers/~0114a2a6b57ec80c79,Peter L.,,,
52,'0140f7055e3c8ab485,https://www.upwork.com/freelancers/~0140f7055e3c8ab485,Austin R.,,,
53,'01b2c3483a483bc901,https://www.upwork.com/freelancers/~01b2c3483a483bc901,Gemmali J.,,,
54,'01eb9686a626e74298,https://www.upwork.com/freelancers/~01eb9686a626e74298,Peter S.,,,
55,'01f82aa0f42c44fd40,https://www.upwork.com/freelancers/~01f82aa0f42c44fd40,Ghazal D.,,,
56,'01579ead560ec90c09,https://www.upwork.com/freelancers/~01579ead560ec90c09,Jasmin A.,,,
57,'01441e1f74608e6c96,https://www.upwork.com/freelancers/~01441e1f74608e6c96,Ivana Alejandra R.,,,
58,'01a491ff01c8ff4b9d,https://www.upwork.com/freelancers/~01a491ff01c8ff4b9d,Laurel P.,,,
59,'01980644df4f949316,https://www.upwork.com/freelancers/~01980644df4f949316,Cynthia V.,,,
60,'01cf0e8cb7ac06b273,https://www.upwork.com/freelancers/~01cf0e8cb7ac06b273,Brittany J.,,,
61,'01d7b7b802ed46a132,https://www.upwork.com/freelancers/~01d7b7b802ed46a132,Christina L.,,,
62,'01cfe648cbe1577b28,https://www.upwork.com/freelancers/~01cfe648cbe1577b28,Dipa M.,,,
63,'016fb4c5173b6d344d,https://www.upwork.com/freelancers/~016fb4c5173b6d344d,Priya S.,,,
64,'010819dcc124392399,https://www.upwork.com/freelancers/~010819dcc124392399,Robert P.,,,
65,'01adbc45811c1c5ea8,https://www.upwork.com/freelancers/~01adbc45811c1c5ea8,Daniel P.,,,
66,'01552f271be941d77f,https://www.upwork.com/freelancers/~01552f271be941d77f,Amanda H.,,,
67,'01860bc13d6a2e9131,https://www.upwork.com/freelancers/~01860bc13d6a2e9131,Marija C.,,,
68,'013c97a91f5bf4b8c3,https://www.upwork.com/freelancers/~013c97a91f5bf4b8c3,Thomas B.,,,
69,'0133a6b09fbe3cdbc0,https://www.upwork.com/freelancers/~0133a6b09fbe3cdbc0,Diogo C.,,,
70,'01b83f61d93466cb16,https://www.upwork.com/freelancers/~01b83f61d93466cb16,Rachel H.,,,
71,'0152e73bea74caba25,https://www.upwork.com/freelancers/~0152e73bea74caba25,Oliver N.,,,
72,'01bd1f21db3e9476a8,https://www.upwork.com/freelancers/~01bd1f21db3e9476a8,Jacquelynn R.,,,
73,'01bc4ab589632ade37,https://www.upwork.com/freelancers/~01bc4ab589632ade37,Candace K.,,,
74,'01cc2c8700c6892ac4,https://www.upwork.com/freelancers/~01cc2c8700c6892ac4,Kathleen W.,,,
75,'0173d4bdfde425e859,https://www.upwork.com/freelancers/~0173d4bdfde425e859,Sobia A.,,,
76,'013520ac44defb8386,https://www.upwork.com/freelancers/~013520ac44defb8386,LeAnn C.,,,
77,'01eb344c2ae3870e47,https://www.upwork.com/freelancers/~01eb344c2ae3870e47,Katie Z.,,,
78,'0193e6c8aa2c1cc75b,https://www.upwork.com/freelancers/~0193e6c8aa2c1cc75b,Aurora F.,,,
79,'013716efe02f9c802e,https://www.upwork.com/freelancers/~013716efe02f9c802e,Md Kudarat Moula S.,,,
80,'012c04a08d7ab8f46b,https://www.upwork.com/freelancers/~012c04a08d7ab8f46b,Mary Cris D.,,,
81,'011105bcf3465953c8,https://www.upwork.com/freelancers/~011105bcf3465953c8,David O.,,,
82,'0132a4fb2ad6b2b5dd,https://www.upwork.com/freelancers/~0132a4fb2ad6b2b5dd,Will C.,,,
83,'0109c7d3dc847bcbbc,https://www.upwork.com/freelancers/~0109c7d3dc847bcbbc,Milos A.,,,
84,'01c3123cf0dc3bdc8d,https://www.upwork.com/freelancers/~01c3123cf0dc3bdc8d,Daniela A.,,,
85,'014ca0a8c912229bb4,https://www.upwork.com/freelancers/~014ca0a8c912229bb4,Marissa W.,,,
86,'01edd79e7d3ba3f102,https://www.upwork.com/freelancers/~01edd79e7d3ba3f102,Iesha J.,,,
87,'0113cf2b63407a0d01,https://www.upwork.com/freelancers/~0113cf2b63407a0d01,Sierra M.,,,
88,'01e254bd22fe0ad40f,https://www.upwork.com/freelancers/~01e254bd22fe0ad40f,Raquel R.,,,
89,'01f83687ef88b7a3d0,https://www.upwork.com/freelancers/~01f83687ef88b7a3d0,Jen B.,,,
90,'01aaa70707ba753b55,https://www.upwork.com/freelancers/~01aaa70707ba753b55,Lauren M.,,,
91,'014239c84c852ac1ae,https://www.upwork.com/freelancers/~014239c84c852ac1ae,Dimple C.,,,
92,'01ef0497b3f062a793,https://www.upwork.com/freelancers/~01ef0497b3f062a793,Jeff M.,,,
93,'016a962d926c63dc86,https://www.upwork.com/freelancers/~016a962d926c63dc86,Anastasia N.,,,
94,'01568bc0edc57c8d8e,https://www.upwork.com/freelancers/~01568bc0edc57c8d8e,Greg P.,,,
95,'01adcd3c02af8b2c5b,https://www.upwork.com/freelancers/~01adcd3c02af8b2c5b,Samantha O.,,,
96,'01d88af95b2a12a5c9,https://www.upwork.com/freelancers/~01d88af95b2a12a5c9,Abha V.,,,
97,'0155077525378dc787,https://www.upwork.com/freelancers/~0155077525378dc787,Shannon D.,,,
98,'01e2a6e1d746e36818,https://www.upwork.com/freelancers/~01e2a6e1d746e36818,Mutasim A.,,,
99,'01fcd80c49857f92c4,https://www.upwork.com/freelancers/~01fcd80c49857f92c4,Oana Raluca H.,,,
